OBJECTID,TRACT,GEOID,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015
1,3400,11001003400,266.2642006,0.41603782,4800.865939,1077532.997,53344073,39287,75037699,43117,59287920,38099,70436558,40413,79636907,42596,92096567,46152
2,3500,11001003500,94.35238321,0.1474256,2982.473558,381830.5502,46454657,30673.5,66239783,32859.5,55914150,30555.5,60909648,32885,78873551,40450,97549566,44843
3,3600,11001003600,75.52164797,0.11800258,2293.46528,305625.2679,110621750,35858,161376203,42788.5,147954698,40355,153247476,40692,143081526,41616,178040405,46806
4,3700,11001003700,72.2318631,0.11286229,2297.040644,292311.9808,103905996,32263,162058134,41387.5,126923023,35705.5,143596631,38248,140501730,39131,181651966,45690.5
5,3800,11001003800,87.92165175,0.13737758,2708.295074,355806.3032,155960140,48799,209040361,54786,196678623,52077,213601983,54908,213544242,56380,235619338,60561
6,3900,11001003900,99.08050118,0.15481328,3408.080644,400964.5649,155878056,51160,206237963,59470,211741280,56264.5,215163653,58480,179473697,58736,214640250,63630
7,6500,11001006500,122.5701721,0.1915159,3386.495881,496023.891,120078372,76911,138021124,79139,138113790,75279,153834127,75784,137875103,89279,156307500,92684
8,1500,11001001500,1161.050947,1.81414212,10650.32709,4698606.509,505817116,135878,464768292,136868,531571394,140516,611814393,147108,586301676,158383,623341016,165589
9,1600,11001001600,667.006081,1.04219701,8627.683622,2699277.859,239860892,88449.5,206050056,86508.5,241106479,84972,253855939,89084.5,280146313,97830.5,285179163,99800.5
10,1702,11001001702,229.8159726,0.35908746,4873.125958,930032.2503,85001437,53846.5,99172867,57746,95489279,53472.5,101908307,56393,112274193,59101,118391616,59590
11,100,11001000100,585.8460139,0.9153844,10028.23629,2370834.718,551823378,89357,444019426,86101.5,563927063,88250,806141206,92634,856267279,108308,698565228,110944.5
12,201,11001000201,133.3261666,0.20832214,3249.765438,539551.8568,65709,12201.5,627662,23000,,,282896,21739.5,1389012,5087,1043062,8785
13,202,11001000202,305.0394643,0.47662417,6742.459377,1234450.922,379656242,116867,244019719,95033.5,365051633,109460.5,390987146,106470,433631252,114630,429158437,115586
14,300,11001000300,252.6031958,0.3946925,4077.691319,1022248.871,274689743,66914.5,306388942,58822,356897869,58959.5,371428724,61936.5,322647481,73252,358002514,70413
15,400,11001000400,378.3828244,0.59122317,5949.909534,1531260.972,244811632,104934,130390459,110621,224772922,101766,221418072,102512,260450481,130923.5,296162003,121711
16,501,11001000501,233.3842638,0.36466291,6813.633099,944472.6123,157450900,65919,182269099,68973,196513698,64763.5,210628169,70218,260010497.2,72707,243419505,76949.5
17,902,11001000902,538.8019552,0.84187806,8704.287793,2180454.166,218882503,121032,176273097,113487,226114271,117436,262353665.4,121474.5,282158382,142212,318502754,148690
18,1001,11001001001,606.4017844,0.94750279,6507.906513,2454020.97,441410751,114136.5,445020421,105423.5,482792403,109646,523214776,110482.5,563657398,128283,567841867,131571
19,1002,11001001002,219.8340534,0.34349071,3952.278513,889636.8563,119559942,74658,134639759,76705,130340038,74072,142883669.4,76636.5,124109798,78338,144272959,79814.5
20,4001,11001004001,68.1625484,0.10650398,2361.335362,275844.0484,203836328,72807,230295472,77629,253288626,74273,262839923,78314.5,242543416,78459.5,269573000,85301.5
21,4002,11001004002,48.45148116,0.07570544,2132.734912,196076.1889,132421749,60460.5,170535365,65155,168856216,62671,182296727.3,65831,157938502,66742,181993123,71996
22,4100,11001004100,201.8685548,0.31541962,3872.498178,816933.0623,403203164,87019,217573711,81283.5,401781124,85405,450959064,89643,447733061,100196,557382746,100885
23,4201,11001004201,50.53509473,0.07896109,1842.645783,204508.2739,144465497,59325,195239173,69112,204654008,64162,221028580,67390,192640010,68708.5,215579124,70930.5
24,4202,11001004202,51.4938138,0.08045908,2102.861146,208388.0723,120039686,60675,165982765,67958,163715989,65293,171191044,70077.5,140618969,65831,168607571,69537
25,4300,11001004300,58.47083608,0.09136068,2045.425608,236623.0799,107576663,47515.5,161937053,56174,146211088,52695,158072679,55500,160486937,57442.5,200919104,65979
26,4400,11001004400,128.9127883,0.20142623,2944.721437,521691.5484,231491287,70297,325184107,77519,289136303,73367,327105530,76068,343052931.9,76726,402398133,82842.5
